T/s	S(T)/ms-2
10.16	0.417874583
10.17	0.417463693
10.18	0.417053611
10.19	0.416644334
10.2	0.416235859
10.21	0.415828184
10.22	0.415421307
10.23	0.415015226
10.24	0.414609938
10.25	0.41420544
10.26	0.413801731
10.27	0.413398808
10.28	0.412996669
10.29	0.412595312
10.3	0.412194734
10.31	0.411794933
10.32	0.411395907
10.33	0.410997653
10.34	0.41060017
10.35	0.410203455
10.36	0.409807506
10.37	0.40941232
10.38	0.409017896
10.39	0.408624231
10.4	0.408231323
10.41	0.40783917
10.42	0.40744777
10.43	0.40705712
10.44	0.406667218
10.45	0.406278063
10.46	0.405889652
10.47	0.405501983
10.48	0.405115053
10.49	0.404728862
10.5	0.404343406
10.51	0.403958683
10.52	0.403574692
10.53	0.40319143
10.54	0.402808896
10.55	0.402427086
10.56	0.402046
10.57	0.401665635
10.58	0.401285989
10.59	0.400907059
10.6	0.400528845
10.61	0.400151344
10.62	0.399774554
10.63	0.399398472
10.64	0.399023098
10.65	0.398648428
10.66	0.398274462
10.67	0.397901196
10.68	0.397528629
10.69	0.39715676
10.7	0.396785585
10.71	0.396415104
10.72	0.396045313
10.73	0.395676212
10.74	0.395307799
10.75	0.394940071
10.76	0.394573026
10.77	0.394206663
10.78	0.39384098
10.79	0.393475974
10.8	0.393111644
10.81	0.392747989
10.82	0.392385006
10.83	0.392022693
10.84	0.391661048
10.85	0.39130007
10.86	0.390939757
10.87	0.390580107
10.88	0.390221118
10.89	0.389862788
10.9	0.389505116
10.91	0.389148099
10.92	0.388791736
10.93	0.388436026
10.94	0.388080965
10.95	0.387726553
10.96	0.387372788
10.97	0.387019668
10.98	0.386667191
10.99	0.386315356
11	0.38596416
11.01	0.385613602
11.02	0.385263681
11.03	0.384914393
11.04	0.384565739
11.05	0.384217716
11.06	0.383870322
11.07	0.383523556
11.08	0.383177415
11.09	0.382831899
11.1	0.382487005
11.11	0.382142733
11.12	0.381799079
11.13	0.381456043
11.14	0.381113623
11.15	0.380771817
11.16	0.380430624
11.17	0.380090041
11.18	0.379750068
11.19	0.379410702
11.2	0.379071943
11.21	0.378733788
11.22	0.378396235
11.23	0.378059284
11.24	0.377722932
11.25	0.377387179
11.26	0.377052021
11.27	0.376717459
11.28	0.376383489
11.29	0.376050112
11.3	0.375717324
11.31	0.375385125
11.32	0.375053512
11.33	0.374722485
11.34	0.374392042
11.35	0.374062181
11.36	0.373732901
11.37	0.373404201
11.38	0.373076077
11.39	0.37274853
11.4	0.372421558
11.41	0.372095159
11.42	0.371769331
11.43	0.371444073
11.44	0.371119385
11.45	0.370795263
11.46	0.370471707
11.47	0.370148715
11.48	0.369826286
11.49	0.369504418
11.5	0.36918311
11.51	0.36886236
11.52	0.368542167
11.53	0.368222529
11.54	0.367903445
11.55	0.367584914
11.56	0.367266934
11.57	0.366949504
11.58	0.366632622
11.59	0.366316286
11.6	0.366000497
11.61	0.365685251
11.62	0.365370547
11.63	0.365056385
11.64	0.364742763
11.65	0.364429679
11.66	0.364117132
11.67	0.363805121
11.68	0.363493644
11.69	0.3631827
11.7	0.362872287
11.71	0.362562405
11.72	0.362253051
11.73	0.361944225
11.74	0.361635925
11.75	0.36132815
11.76	0.361020898
11.77	0.360714168
11.78	0.360407959
11.79	0.36010227
11.8	0.359797098
11.81	0.359492444
11.82	0.359188305
11.83	0.35888468
11.84	0.358581568
11.85	0.358278967
11.86	0.357976877
11.87	0.357675296
11.88	0.357374222
11.89	0.357073655
11.9	0.356773593
11.91	0.356474035
11.92	0.35617498
11.93	0.355876426
11.94	0.355578372
11.95	0.355280817
11.96	0.354983759
11.97	0.354687198
11.98	0.354391132
11.99	0.35409556
12	0.35380048
12.01	0.353505892
12.02	0.353211794
12.03	0.352918185
12.04	0.352625063
12.05	0.352332428
12.06	0.352040279
12.07	0.351748613
12.08	0.35145743
12.09	0.35116673
12.1	0.350876509
12.11	0.350586768
12.12	0.350297505
12.13	0.350008719
12.14	0.349720409
12.15	0.349432573
12.16	0.349145211
12.17	0.34885832
12.18	0.348571901
12.19	0.348285952
12.2	0.348000472
12.21	0.347715459
12.22	0.347430913
12.23	0.347146832
12.24	0.346863216
12.25	0.346580062
12.26	0.34629737
12.27	0.346015139
12.28	0.345733368
12.29	0.345452055
12.3	0.3451712
12.31	0.344890801
12.32	0.344610857
12.33	0.344331367
12.34	0.344052331
12.35	0.343773746
12.36	0.343495612
12.37	0.343217927
12.38	0.342940691
12.39	0.342663903
12.4	0.342387561
12.41	0.342111665
12.42	0.341836213
12.43	0.341561204
12.44	0.341286637
12.45	0.341012511
12.46	0.340738825
12.47	0.340465578
12.48	0.340192769
12.49	0.339920397
12.5	0.339648461
12.51	0.339376959
12.52	0.339105891
12.53	0.338835256
12.54	0.338565053
12.55	0.33829528
12.56	0.338025936
12.57	0.337757021
12.58	0.337488534
12.59	0.337220473
12.6	0.336952838
12.61	0.336685627
12.62	0.33641884
12.63	0.336152475
12.64	0.335886532
12.65	0.335621009
12.66	0.335355905
12.67	0.33509122
12.68	0.334826953
12.69	0.334563102
